"country","pop2020"
"India","1380004.3850"
"Indonesia","273523.6150"
"Brazil","212559.4170"
"Nigeria","206139.5890"
"Mexico","128932.7530"
"Ethiopia","114963.5880"
"Philippines","109581.0780"
"Vietnam","97338.5790"
"DR Congo","89561.4030"
"Thailand","69799.9780"
"Tanzania","59734.2180"
"Myanmar","54409.8000"
"Kenya","53771.2960"
"Colombia","50882.8910"
"Uganda","45741.0070"
"Sudan","43849.2600"
"Peru","32971.8540"
"Angola","32866.2720"
"Malaysia","32365.9990"
"Mozambique","31255.4350"
"Venezuela","28435.9400"
"Madagascar","27691.0180"
"Cameroon","26545.8630"
"Ivory Coast","26378.2740"
"Niger","24206.6440"
"Burkina Faso","20903.2730"
"Mali","20250.8330"
"Malawi","19129.9520"
"Zambia","18383.9550"
"Guatemala","17915.5680"
"Ecuador","17643.0540"
"Senegal","16743.9270"
"Cambodia","16718.9650"
"Chad","16425.8640"
"Somalia","15893.2220"
"Guinea","13132.7950"
"Rwanda","12952.2180"
"Benin","12123.2000"
"Burundi","11890.7840"
"Bolivia","11673.0210"
"Haiti","11402.5280"
"Cuba","11326.6160"
"Dominican Republic","10847.9100"
"Honduras","9904.6070"
"Togo","8278.7240"
"Sierra Leone","7976.9830"
"Laos","7275.5600"
"Paraguay","7132.5380"
"Nicaragua","6624.5540"
"El Salvador","6486.2050"
"Singapore","5850.3420"
"Republic of the Congo","5518.0870"
"Costa Rica","5094.1180"
"Liberia","5057.6810"
"Central African Republic","4829.7670"
"Mauritania","4649.6580"
"Panama","4314.7670"
"Eritrea","3546.4210"
"Jamaica","2961.1670"
"Puerto Rico","2860.8530"
"Gambia","2416.6680"
"Gabon","2225.7340"
"Guinea-Bissau","1968.0010"
"Equatorial Guinea","1402.9850"
"Trinidad and Tobago","1399.4880"
"Timor-Leste","1318.4450"
"Mauritius","1271.7680"
"Djibouti","988"
"Reunion","895.3120"
"Comoros","869.6010"
"Guyana","786.5520"
"Suriname","586.6320"
"Brunei","437.4790"
"Guadeloupe","400.1240"
"Belize","397.6280"
"Bahamas","393.2440"
"Martinique","375.2650"
"French Guiana","298.6820"
"Barbados","287.3750"
"Mayotte","272.8150"
"Sao Tome and Principe","219.1590"
"Saint Lucia","183.6270"
"Grenada","112.5230"
"Saint Vincent and the Grenadines","110.9400"
"Aruba","106.7660"
"United States Virgin Islands","104.4250"
"Seychelles","98.3470"
"Antigua and Barbuda","97.9290"
"Dominica","71.9860"
"Cayman Islands","65.7220"
"Saint Kitts and Nevis","53.1990"
"Turks and Caicos Islands","38.7170"
"Saint Martin","38.6660"
"British Virgin Islands","30.2310"
"Anguilla","15.0030"
"Montserrat","4.9920"
